Type,Year,Spot,Start,Max,End
B9.2, 1996-11-23, 7999, 19:14:00, 19:26:00, 19:29:00
C1.0, 1996-08-25, 7986, 12:10:00, 12:36:00, 12:39:00
C1.0, 1996-11-24, 7999, 21:05:00, 21:13:00, 21:19:00
C1.2, 1996-11-25, 7999, 00:55:00, 00:58:00, 01:02:00
C1.3, 1996-11-24, 7999, 19:25:00, 19:34:00, 19:49:00
C1.8, 1996-11-24, 7999, 20:00:00, 20:04:00, 20:06:00
C1.8, 1996-11-25, 7997, 12:22:00, 12:25:00, 12:27:00
C2.8, 1996-11-24, 7999, 17:31:00, 17:47:00, 17:59:00
C8.0, 1996-11-25, 7999, 00:11:00, 00:19:00, 00:31:00
X5.4, 2012-03-07, 1429, 00:02:00, 00:24:00, 00:40:00
X5.4, 2005-09-08, 0808, 20:52:00, 21:06:00, 21:17:00
X5.4, 2003-10-23, 0486, 08:19:00, 08:35:00, 08:49:00
X5.3, 2001-08-25, 9591, 16:23:00, 16:45:00, 17:04:00
X4.9, 2014-02-25, 1990, 00:39:00, 00:49:00, 01:03:00
M3.0, 2015-06-18, 2371, 16:30:00, 17:36:00, 18:25:00
M3.0, 2015-03-06, 2297, 04:14:00, 04:57:00, 05:27:00
