Type,Year,Spot,Start,Max,End
X5.4, 2012-03-07, 1429, 00:02:00, 00:24:00,
X4.9, 2014-02-25, 1990, 00:39:00, 00:49:00,
X3.3, 2013-11-05, 1890, 22:07:00, 22:12:00,
X3.2, 2013-05-14, 1748, 00:00:00, 01:11:00,
X3.1, 2014-10-24, 2192, 21:07:00, 21:41:00,
X2.8, 2013-05-13, 1748, 15:48:00, 16:05:00,
X2.7, 2015-05-05, 2339, 22:05:00, 22:11:00,
X2.3, 2013-10-29, 1875, 21:42:00, 21:54:00,
X2.2, 2015-03-11, 2297, 16:11:00, 16:22:00,
X2.2, 2014-06-10, 2087, 11:36:00, 11:42:00,
X2.1, 2013-10-25, 1882, 14:51:00, 15:03:00,
X2.0, 2014-10-27, 2192, 14:12:00, 14:47:00,
X2.0, 2014-10-26, 2192, 10:04:00, 10:56:00,
X1.8, 2014-12-20, 2242, 00:11:00, 00:28:00,
X1.8, 2012-10-23, 1598, 03:13:00, 03:17:00,
X1.7, 2013-10-25, 1882, 07:53:00, 08:01:00,
X1.7, 2013-05-13, 1748, 01:53:00, 02:17:00,
X1.7, 2012-01-27, 1402, 17:37:00, 18:37:00,
X1.6, 2014-11-07, 2205, 16:53:00, 17:26:00,
X1.6, 2014-10-22, 2192, 14:02:00, 14:28:00,
X1.6, 2014-09-10, 2158, 17:21:00, 17:45:00,
X1.5, 2014-06-10, 2087, 12:36:00, 12:52:00,
X1.4, 2012-07-12, 1520, 15:37:00, 16:49:00,
X1.3, 2014-04-25, 2035, 00:17:00, 00:27:00,
X1.3, 2012-03-07, 1430, 01:05:00, 01:14:00,
X1.2, 2014-01-07, 1944, 18:04:00, 18:32:00,
X1.2, 2013-05-15, 1748, 01:25:00, 01:48:00,
X1.1, 2014-10-19, 2192, 04:17:00, 05:03:00,
X1.1, 2013-11-10, 1890, 05:08:00, 05:14:00,
X1.1, 2013-11-08, 1890, 04:20:00, 04:26:00,
X1.1, 2012-07-06, 1515, 23:01:00, 23:08:00,
X1.1, 2012-03-05, 1429, 02:30:00, 04:09:00,
X1.0, 2014-10-25, 2192, 16:55:00, 17:08:00,
X1.0, 2014-06-11, 2087, 08:59:00, 09:06:00,
X1.0, 2014-03-29, 2017, 17:35:00, 17:48:00,
X1.0, 2013-11-19, 1893, 10:14:00, 10:26:00,
X1.0, 2013-10-28, 1875, 01:41:00, 02:03:00,
